Date : 2020-09-23 16:51:21
Directory : d:\user\DOCUMENTS\Graduation\GraduationProgram\Programs\graduation_app
Total : 101 files,  8688 codes, 304 comments, 791 blanks, all 9783 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Dart       |         78 |      8,213 |        217 |        737 |      9,167 |
| JSON       |          3 |        185 |          0 |          2 |        187 |
| XML        |          8 |        120 |         41 |          9 |        170 |
| Groovy     |          4 |         99 |          3 |         22 |        124 |
| YAML       |          1 |         31 |         42 |          6 |         79 |
| Markdown   |          2 |         13 |          0 |          9 |         22 |
| Swift      |          1 |         12 |          0 |          2 |         14 |
| Properties |          2 |         10 |          1 |          1 |         12 |
| Kotlin     |          1 |          4 |          0 |          3 |          7 |
| C++        |          1 |          1 |          0 |          0 |          1 |
+------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                           | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                              |        101 |      8,688 |        304 |        791 |      9,783 |
| android                                                                                                                                        |         14 |        212 |         43 |         33 |        288 |
| android\app                                                                                                                                    |          9 |        161 |         42 |         22 |        225 |
| android\app\src                                                                                                                                |          7 |         63 |         39 |         10 |        112 |
| android\app\src\debug                                                                                                                          |          1 |          4 |          3 |          1 |          8 |
| android\app\src\main                                                                                                                           |          5 |         55 |         33 |          8 |         96 |
| android\app\src\main\kotlin                                                                                                                    |          1 |          4 |          0 |          3 |          7 |
| android\app\src\main\kotlin\com                                                                                                                |          1 |          4 |          0 |          3 |          7 |
| android\app\src\main\kotlin\com\example                                                                                                        |          1 |          4 |          0 |          3 |          7 |
| android\app\src\main\kotlin\com\example\graduationapp                                                                                          |          1 |          4 |          0 |          3 |          7 |
| android\app\src\main\res                                                                                                                       |          3 |         17 |         10 |          3 |         30 |
| android\app\src\main\res\drawable                                                                                                              |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\values                                                                                                                |          1 |          9 |          3 |          1 |         13 |
| android\app\src\main\res\xml                                                                                                                   |          1 |          4 |          0 |          0 |          4 |
| android\app\src\profile                                                                                                                        |          1 |          4 |          3 |          1 |          8 |
| android\gradle                                                                                                                                 |          1 |          5 |          1 |          1 |          7 |
| android\gradle\wrapper                                                                                                                         |          1 |          5 |          1 |          1 |          7 |
| ios                                                                                                                                            |          7 |        222 |          2 |          8 |        232 |
| ios\Runner                                                                                                                                     |          7 |        222 |          2 |          8 |        232 |
| ios\Runner\Assets.xcassets                                                                                                                     |          3 |        148 |          0 |          4 |        152 |
| ios\Runner\Assets.xcassets\AppIcon.appiconset                                                                                                  |          1 |        122 |          0 |          1 |        123 |
| ios\Runner\Assets.xcassets\LaunchImage.imageset                                                                                                |          2 |         26 |          0 |          3 |         29 |
