"filename", "language", "YAML", "Dart", "Markdown", "Groovy", "Properties", "XML", "JSON", "C++", "Swift", "comment", "blank", "total"
"d:\User\DOCUMENTS\Graduation\GraduationProgram\Programs\graduation_app\README.md", "Markdown", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 7, 17
"d:\User\DOCUMENTS\Graduation\GraduationProgram\Programs\graduation_app\android\.idea-bak\codeStyles\Project.xml", "XML", 0, 0, 0, 0, 0, 134, 0, 0, 0, 0, 0, 134
"d:\User\DOCUMENTS\Graduation\GraduationProgram\Programs\graduation_app\android\.idea-bak\gradle.xml", "XML", 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 42
"d:\User\DOCUMENTS\Graduation\GraduationProgram\Programs\graduation_app\android\.idea-bak\jarRepositories.xml", "XML", 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 35
"d:\User\DOCUMENTS\Graduation\GraduationProgram\Programs\graduation_app\android\.idea-bak\libraries\Gradle_______build_app_intermediates_flutter_debug_libs_jar.xml", "XML", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 9
"d:\User\DOCUMENTS\Graduation\GraduationProgram\Programs\graduation_app\android\.idea-bak\libraries\Gradle__androidx_activity_activity_1_0_0_aar.xml", "XML", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 13
"d:\User\DOCUMENTS\Graduation\GraduationProgram\Programs\graduation_app\android\.idea-bak\libraries\Gradle__androidx_annotation_annotation_1_1_0_jar.xml", "XML", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 13
"d:\User\DOCUMENTS\Graduation\GraduationProgram\Programs\graduation_app\android\.idea-bak\libraries\Gradle__androidx_arch_core_core_common_2_1_0_jar.xml", "XML", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 11
"d:\User\DOCUMENTS\Graduation\GraduationProgram\Programs\graduation_app\android\.idea-bak\libraries\Gradle__androidx_arch_core_core_runtime_2_0_0_aar.xml", "XML", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 13
"d:\User\DOCUMENTS\Graduation\GraduationProgram\Programs\graduation_app\android\.idea-bak\libraries\Gradle__androidx_asynclayoutinflater_asynclayoutinflater_1_0_0_aar.xml", "XML", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 13
"d:\User\DOCUMENTS\Graduation\GraduationProgram\Programs\graduation_app\android\.idea-bak\libraries\Gradle__androidx_collection_collection_1_1_0_jar.xml", "XML", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 11
"d:\User\DOCUMENTS\Graduation\GraduationProgram\Programs\graduation_app\android\.idea-bak\libraries\Gradle__androidx_coordinatorlayout_coordinatorlayout_1_0_0_aar.xml", "XML", 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 16
"d:\User\DOCUMENTS\Graduation\GraduationProgram\Programs\graduation_app\android\.idea-bak\libraries\Gradle__androidx_core_core_1_1_0_aar.xml", "XML", 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 16
"d:\User\DOCUMENTS\Graduation\GraduationProgram\Programs\graduation_app\android\.idea-bak\libraries\Gradle__androidx_cursoradapter_cursoradapter_1_0_0_aar.xml", "XML", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 13
"d:\User\DOCUMENTS\Graduation\GraduationProgram\Programs\graduation_app\android\.idea-bak\libraries\Gradle__androidx_customview_customview_1_0_0_aar.xml", "XML", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 13
