Date : 2020-10-04 11:41:50
Directory : d:\User\DOCUMENTS\Graduation\GraduationProgram\Programs\graduation_app
Total : 249 files,  11934 codes, 171 comments, 955 blanks, all 13060 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Dart       |        102 |      9,426 |         84 |        903 |     10,413 |
| XML        |        133 |      2,156 |         41 |          9 |      2,206 |
| JSON       |          3 |        185 |          0 |          2 |        187 |
| Groovy     |          4 |         99 |          3 |         22 |        124 |
| YAML       |          1 |         32 |         42 |          7 |         81 |
| Markdown   |          2 |         13 |          0 |          9 |         22 |
| Swift      |          1 |         12 |          0 |          2 |         14 |
| Properties |          2 |         10 |          1 |          1 |         12 |
| C++        |          1 |          1 |          0 |          0 |          1 |
+------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                                                 | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                                                    |        249 |     11,934 |        171 |        955 |     13,060 |
| android                                                                                                                                                                                              |        138 |      2,244 |         43 |         30 |      2,317 |
| android\.idea-bak                                                                                                                                                                                    |        125 |      2,036 |          0 |          0 |      2,036 |
| android\.idea-bak\codeStyles                                                                                                                                                                         |          1 |        134 |          0 |          0 |        134 |
| android\.idea-bak\libraries                                                                                                                                                                          |        117 |      1,512 |          0 |          0 |      1,512 |
| android\app                                                                                                                                                                                          |          8 |        157 |         42 |         19 |        218 |
| android\app\src                                                                                                                                                                                      |          6 |         59 |         39 |          7 |        105 |
| android\app\src\debug                                                                                                                                                                                |          1 |          4 |          3 |          1 |          8 |
| android\app\src\main                                                                                                                                                                                 |          4 |         51 |         33 |          5 |         89 |
| android\app\src\main\res                                                                                                                                                                             |          3 |         17 |         10 |          3 |         30 |
| android\app\src\main\res\drawable                                                                                                                                                                    |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\values                                                                                                                                                                      |          1 |          9 |          3 |          1 |         13 |
| android\app\src\main\res\xml                                                                                                                                                                         |          1 |          4 |          0 |          0 |          4 |
| android\app\src\profile                                                                                                                                                                              |          1 |          4 |          3 |          1 |          8 |
| android\gradle                                                                                                                                                                                       |          1 |          5 |          1 |          1 |          7 |
| android\gradle\wrapper                                                                                                                                                                               |          1 |          5 |          1 |          1 |          7 |
| ios                                                                                                                                                                                                  |          7 |        222 |          2 |          8 |        232 |
| ios\Runner                                                                                                                                                                                           |          7 |        222 |          2 |          8 |        232 |
| ios\Runner\Assets.xcassets                                                                                                                                                                           |          3 |        148 |          0 |          4 |        152 |
| ios\Runner\Assets.xcassets\AppIcon.appiconset                                                                                                                                                        |          1 |        122 |          0 |          1 |        123 |
| ios\Runner\Assets.xcassets\LaunchImage.imageset                                                                                                                                                      |          2 |         26 |          0 |          3 |         29 |
| ios\Runner\Base.lproj                                                                                                                                                                                |          2 |         61 |          2 |          2 |         65 |
| lib                                                                                                                                                                                                  |        101 |      9,412 |         74 |        896 |     10,382 |
| lib\custom_widgets                                                                                                                                                                                   |          9 |        350 |          2 |         43 |        395 |
| lib\models                                                                                                                                                                                           |         12 |        606 |          1 |         74 |        681 |
| lib\repository                                                                                                                                                                                       |          4 |        129 |          3 |         19 |        151 |
| lib\screens                                                                                                                                                                                          |         67 |      7,866 |         57 |        681 |      8,604 |
| lib\screens\home                                                                                                                                                                                     |         16 |      1,906 |         14 |        171 |      2,091 |
| lib\screens\home\tab_homework                                                                                                                                                                        |          2 |        278 |          1 |         24 |        303 |
| lib\screens\home\tab_lesson                                                                                                                                                                          |          5 |        978 |          5 |         68 |      1,051 |
| lib\screens\home\tab_lesson\screen_create_lesson                                                                                                                                                     |          3 |        543 |          0 |         35 |        578 |
| lib\screens\home\tab_user_bloc                                                                                                                                                                       |          6 |        433 |          8 |         57 |        498 |
| lib\screens\homework_details                                                                                                                                                                         |         20 |      2,935 |          3 |        202 |      3,140 |
| lib\screens\homework_details\check_recieved_comment                                                                                                                                                  |          2 |        416 |          1 |         24 |        441 |
| lib\screens\homework_details\for_tea.dart                                                                                                                                                            |          7 |        922 |          0 |         70 |        992 |
