Date : 2020-08-17 20:21:06
Directory : d:\user\DOCUMENTS\Graduation\GraduationProgram\Programs\graduation_app
Total : 94 files,  8227 codes, 315 comments, 745 blanks, all 9287 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Dart       |         72 |      7,764 |        232 |        694 |      8,690 |
| JSON       |          3 |        185 |          0 |          2 |        187 |
| XML        |          8 |        112 |         37 |          9 |        158 |
| Groovy     |          4 |         99 |          3 |         22 |        124 |
| YAML       |          1 |         31 |         42 |          6 |         79 |
| Markdown   |          2 |         13 |          0 |          9 |         22 |
| Swift      |          1 |         12 |          0 |          2 |         14 |
| Properties |          2 |         10 |          1 |          1 |         12 |
| C++        |          1 |          1 |          0 |          0 |          1 |
+------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                           | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                              |         94 |      8,227 |        315 |        745 |      9,287 |
| android                                                                                                                                        |         13 |        200 |         39 |         30 |        269 |
| android\app                                                                                                                                    |          8 |        149 |         38 |         19 |        206 |
| android\app\src                                                                                                                                |          6 |         51 |         35 |          7 |         93 |
| android\app\src\debug                                                                                                                          |          1 |          4 |          3 |          1 |          8 |
| android\app\src\main                                                                                                                           |          4 |         43 |         29 |          5 |         77 |
| android\app\src\main\res                                                                                                                       |          3 |         14 |          9 |          3 |         26 |
| android\app\src\main\res\drawable                                                                                                              |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\values                                                                                                                |          1 |          6 |          2 |          1 |          9 |
| android\app\src\main\res\xml                                                                                                                   |          1 |          4 |          0 |          0 |          4 |
| android\app\src\profile                                                                                                                        |          1 |          4 |          3 |          1 |          8 |
| android\gradle                                                                                                                                 |          1 |          5 |          1 |          1 |          7 |
| android\gradle\wrapper                                                                                                                         |          1 |          5 |          1 |          1 |          7 |
| ios                                                                                                                                            |          7 |        222 |          2 |          8 |        232 |
| ios\Runner                                                                                                                                     |          7 |        222 |          2 |          8 |        232 |
| ios\Runner\Assets.xcassets                                                                                                                     |          3 |        148 |          0 |          4 |        152 |
| ios\Runner\Assets.xcassets\AppIcon.appiconset                                                                                                  |          1 |        122 |          0 |          1 |        123 |
| ios\Runner\Assets.xcassets\LaunchImage.imageset                                                                                                |          2 |         26 |          0 |          3 |         29 |
| ios\Runner\Base.lproj                                                                                                                          |          2 |         61 |          2 |          2 |         65 |
| lib                                                                                                                                            |         71 |      7,750 |        222 |        687 |      8,659 |
| lib\custom_widgets                                                                                                                             |          6 |        211 |          2 |         34 |        247 |
| lib\models                                                                                                                                     |         15 |        736 |          1 |         99 |        836 |
| lib\screens                                                                                                                                    |         40 |      6,319 |        210 |        473 |      7,002 |
| lib\screens\home                                                                                                                               |         12 |      1,982 |         36 |        140 |      2,158 |
| lib\screens\home\tab_homework                                                                                                                  |          2 |        278 |          1 |         24 |        303 |
| lib\screens\home\tab_lesson                                                                                                                    |          3 |        918 |         19 |         62 |        999 |
| lib\screens\home\tab_user                                                                                                                      |          4 |        571 |         16 |         32 |        619 |
| lib\screens\homework_details                                                                                                                   |         11 |      2,426 |          7 |        152 |      2,585 |
| lib\screens\homework_details\for_tea.dart                                                                                                      |          4 |        850 |          0 |         54 |        904 |
| lib\screens\lesson                                                                                                                             |         11 |      1,243 |          9 |        120 |      1,372 |
| lib\screens\lesson\group                                                                                                                       |          7 |        736 |          9 |         68 |        813 |
| lib\screens\lesson\group\group_for_stu                                                                                                         |          5 |        591 |          8 |         52 |        651 |
| lib\screens\lesson\group\group_for_tea                                                                                                         |          2 |        145 |          1 |         16 |        162 |
| lib\screens\login                                                                                                                              |          4 |        277 |        149 |         40 |        466 |
| lib\screens\setting                                                                                                                            |          1 |        236 |          8 |          6 |        250 |
| lib\screens\sign_up                                                                                                                            |          1 |        155 |          1 |         15 |        171 |
| lib\utils                                                                                                                                      |          7 |        255 |          6 |         62 |        323 |
| test                                                                                                                                           |          1 |         14 |         10 |          7 |         31 |
+------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                                                       | language   | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| d:\user\DOCUMENTS\Graduation\GraduationProgram\Programs\graduation_app\README.md                                                               | Markdown   |         10 |          0 |          7 |         17 |
| d:\user\DOCUMENTS\Graduation\GraduationProgram\Programs\graduation_app\android\app\build.gradle                                                | Groovy     |         58 |          3 |         12 |         73 |
| d:\user\DOCUMENTS\Graduation\GraduationProgram\Programs\graduation_app\android\app\google-services.json                                        | JSON       |         40 |          0 |          0 |         40 |
| d:\user\DOCUMENTS\Graduation\GraduationProgram\Programs\graduation_app\android\app\src\debug\AndroidManifest.xml                               | XML        |          4 |          3 |          1 |          8 |
| d:\user\DOCUMENTS\Graduation\GraduationProgram\Programs\graduation_app\android\app\src\main\AndroidManifest.xml                                | XML        |         29 |         20 |          2 |         51 |
| d:\user\DOCUMENTS\Graduation\GraduationProgram\Programs\graduation_app\android\app\src\main\res\drawable\launch_background.xml                 | XML        |          4 |          7 |          2 |         13 |
| d:\user\DOCUMENTS\Graduation\GraduationProgram\Programs\graduation_app\android\app\src\main\res\values\styles.xml                              | XML        |          6 |          2 |          1 |          9 |
